id;count;sample:E00944163-S0001plqA-A0000Rep1_IonCode_0229;sample:E00944164-S0001plqA-A0000Rep1_IonCode_0230;sample:E00944165-S0001plqA-A0000Rep1_IonCode_0231;sample:E00944166-S0001plqA-A0000Rep1_IonCode_0232;sample:E00944168-S0001plqA-A0000Rep1_IonCode_0233;sample:E00944194-S0001plqA-A0000Rep1_IonCode_0234;sample:E00944195-S0001plqA-A0000Rep1_IonCode_0235;sample:E00944196-S0001plqA-A0000Rep1_IonCode_0236;sample:E00944200-S0001plqA-A0000Rep1_IonCode_0237;sample:E00944201-S0001plqA-A0000Rep1_IonCode_0238;sample:E00944203-S0001plqA-A0000Rep1_IonCode_0240;sample:E00944205-S0001plqA-A0000Rep1_IonCode_0242;sample:E00944206-S0001plqA-A0000Rep1_IonCode_0243;sample:E00944208-S0001plqA-A0000Rep1_IonCode_0244;sample:E00944209-S0001plqA-A0000Rep1_IonCode_0245;sample:E00944210-S0001plqA-A0000Rep1_IonCode_0246;sample:E00944211-S0001plqA-A0000Rep1_IonCode_0247;sample:E00944213-S0001plqA-A0000Rep1_IonCode_0248;sample:E00944215-S0001plqA-A0000Rep1_IonCode_0249;sample:E00944217-S0001plqA-A0000Rep1_IonCode_0250;sample:E00944218-S0001plqA-A0000Rep1_IonCode_0251;sample:E00944563-S0001plqA-A0000Rep1_IonCode_0266;sample:E00944564-S0001plqA-A0000Rep1_IonCode_0267;sample:E00963479-S0001plqA-A0000Rep1_IonCode_0202;sample:E00963480-S0001plqA-A0000Rep1_IonCode_0203;sample:E00963481-S0001plqA-A0000Rep1_IonCode_0204;sample:E00963487-S0001plqA-A0000Rep1_IonCode_0205;sample:E00963489-S0001plqA-A0000Rep1_IonCode_0206;sample:E00963503-S0001plqA-A0000Rep1_IonCode_0207;sample:E00963504-S0001plqA-A0000Rep1_IonCode_0208;sample:E00963513-S0001plqA-A0000Rep1_IonCode_0209;sample:E00963514-S0001plqA-A0000Rep1_IonCode_0210;sample:E00963678-S0001plqA-A0000Rep1_IonCode_0211;sample:E00963680-S0001plqA-A0000Rep1_IonCode_0212;sample:E00963683-S0001plqA-A0000Rep1_IonCode_0213;sample:E00963715-S0001plqA-A0000Rep1_IonCode_0268;sample:E00963717-S0001plqA-A0000Rep1_IonCode_0269;sample:E00963721-S0001plqA-A0000Rep1_IonCode_0270;sample:E00963722-S0001plqA-A0000Rep1_IonCode_0271;sample:E00963725-S0001plqA-A0000Rep1_IonCode_0272;sample:E00963726-S0001plqA-A0000Rep1_IonCode_0273;sample:E00963727-S0001plqA-A0000Rep1_IonCode_0274;sample:E00963728-S0001plqA-A0000Rep1_IonCode_0275;sample:E00963729-S0001plqA-A0000Rep1_IonCode_0276;sample:E00963731-S0001plqA-A0000Rep1_IonCode_0277;sample:E00963732-S0001plqA-A0000Rep1_IonCode_0278;sample:E00963734-S0001plqA-A0000Rep1_IonCode_0280;sample:E00963736-S0001plqA-A0000Rep1_IonCode_0282;sample:E00963738-S0001plqA-A0000Rep1_IonCode_0283;sample:E00963739-S0001plqA-A0000Rep1_IonCode_0284;sample:E00963744-S0001plqA-A0000Rep1_IonCode_0252;sample:E00963749-S0001plqA-A0000Rep1_IonCode_0253;sample:E00963754-S0001plqA-A0000Rep1_IonCode_0254;sample:E00963758-S0001plqA-A0000Rep1_IonCode_0255;sample:E00963760-S0001plqA-A0000Rep1_IonCode_0256;sample:E00963814-S0001plqA-A0000Rep1_IonCode_0257;sample:E00963840-S0001plqA-A0000Rep1_IonCode_0285;sample:E00963849-S0001plqA-A0000Rep1_IonCode_0287;sample:E00963851-S0001plqA-A0000Rep1_IonCode_0288;sample:E00963854-S0001plqA-A0000Rep1_IonCode_0289;sample:E00963858-S0001plqA-A0000Rep1_IonCode_0290;sample:E00963860-S0001plqA-A0000Rep1_IonCode_0291;sample:E00963861-S0001plqA-A0000Rep1_IonCode_0292;sample:E00963862-S0001plqA-A0000Rep1_IonCode_0293;sample:E00963863-S0001plqA-A0000Rep1_IonCode_0294;sample:E00963872-S0001plqA-A0000Rep1_IonCode_0215;sample:E00963876-S0001plqA-A0000Rep1_IonCode_0216;sample:E00963878-S0001plqA-A0000Rep1_IonCode_0217;sample:E00963882-S0001plqA-A0000Rep1_IonCode_0218;sample:E00963887-S0001plqA-A0000Rep1_IonCode_0219;sample:E00963888-S0001plqA-A0000Rep1_IonCode_0220;sample:E00982243-S0001plqA-A0000Rep1_IonCode_0258;sample:E00982245-S0001plqA-A0000Rep1_IonCode_0259;sample:E00982261-S0001plqA-A0000Rep1_IonCode_0260;sample:E00982267-S0001plqA-A0000Rep1_IonCode_0261;sample:E00982269-S0001plqA-A0000Rep1_IonCode_0262;sample:E00982272-S0001plqA-A0000Rep1_IonCode_0263;sample:E00982274-S0001plqA-A0000Rep1_IonCode_0264;sample:E00982275-S0001plqA-A0000Rep1_IonCode_0265;sample:E00982461-S0001plqA-A0000Rep1_IonCode_0221;sample:E00982463-S0001plqA-A0000Rep1_IonCode_0222;sample:E00982464-S0001plqA-A0000Rep1_IonCode_0223;sample:E00982467-S0001plqA-A0000Rep1_IonCode_0224;sample:E00982468-S0001plqA-A0000Rep1_IonCode_0225;sample:E00982469-S0001plqA-A0000Rep1_IonCode_0226;sample:E00982473-S0001plqA-A0000Rep1_IonCode_0227;sample:E00982474-S0001plqA-A0000Rep1_IonCode_0228;sample:E00982498-S0001plqA-A0000Rep1_IonCode_0295
P8S2G:03868:01036_SUB_SUB;169;2;0;2;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;9;0;0;0;0;1;0;0;1;0;0;1;0;0;0;7;5;0;0;4;0;0;0;0;3;0;2;1;20;12;2;3;4;0;2;5;0;0;5;0;5;1;2;0;3;0;0;0;5;2;1;23;1;8;1;0;4;0;0;0;2;0;0;0;2;0
P8S2G:00474:01779_SUB_SUB;150;3;1;77;4;0;0;0;2;3;3;0;0;0;0;2;0;42;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00524:01658_SUB_SUB;124;3;0;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;0;0;0;0;3;0;0;2;0;0;1;0;0;0;5;0;1;0;1;0;0;0;1;1;1;1;0;24;6;3;1;3;0;0;1;0;0;1;0;5;2;1;1;2;0;0;0;7;2;1;12;1;5;0;2;8;0;0;0;1;0;0;0;0;0
P8S2G:03003:01078_SUB_SUB;153;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;0;0;0;0;0;0;0;0;0;0;3;0;2;0;7;1;0;0;10;0;0;0;0;2;0;3;3;24;14;0;0;0;0;2;3;0;0;2;0;2;1;7;1;3;1;0;0;12;0;1;14;1;6;0;0;5;0;0;0;2;0;1;1;1;0
P8S2G:04311:00597_SUB_SUB;612;0;2;10;0;0;1;38;0;0;0;0;14;48;0;3;1;2;71;5;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;1;0;0;0;1;0;0;8;1;11;1;2;0;0;0;0;1;1;13;0;0;0;27;0;294;1;0;0;0;0;0;0;2;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;2
P8S2G:03308:00302_SUB_SUB;194;5;0;3;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1;0;0;0;0;0;0;0;2;0;0;2;0;0;0;3;2;2;0;10;0;1;0;0;1;1;4;0;28;9;0;5;2;0;0;0;0;0;4;0;10;0;8;1;4;1;0;0;30;2;2;11;3;15;0;1;4;0;0;0;0;0;0;0;1;0
P8S2G:02881:01731_SUB_SUB;138;1;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;9;2;0;4;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;1;0;0;4;2;40;0;0;0;2;0;0;0;0;0;0;29;1;3;1;0;2;0;2;7;1;2;4;0;1;0;4;0;0;0;0;0;0;0;0;5
P8S2G:03073:01375_SUB_SUB;955;0;186;0;7;0;58;1;0;8;0;2;5;0;0;54;2;0;4;0;57;1;0;2;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;189;83;0;0;0;6;0;0;2;0;6;0;2;1;33;1;2;0;0;0;0;0;10;2;3;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;219
P8S2G:01873:04244_SUB_SUB;363;165;14;122;53;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04099:06597_SUB_SUB;230;230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04190:06754_SUB_SUB;267;174;3;26;19;1;0;0;0;17;2;2;0;0;0;8;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04222:06769_SUB_SUB;445;25;22;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127;134;97;8;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04309:06482_SUB_SUB;2792;136;70;559;449;1;1;5;212;427;48;0;8;0;0;477;0;271;87;17;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0
P8S2G:01122:06352_SUB_SUB;189;11;2;98;40;0;0;0;0;4;8;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00349:02525_SUB_SUB;406;20;7;55;35;1;0;0;0;4;0;0;29;0;0;45;0;15;86;1;0;9;0;0;0;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;11;5;3;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00229:03340_SUB_SUB;3807;15;0;6;9;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;241;46;0;0;0;0;0;0;0;0;2;143;0;0;0;1;342;22;0;0;159;0;1023;0;0;3;19;2;9;298;100;50;16;23;0;482;438;49;0;0;58;0;14;0;14;0;14;0;0;1;22;9;30;0;90;0;12;9;0;0;0;0;3;0;0;0;30
P8S2G:00252:06121_SUB_SUB;185;8;51;2;0;1;0;0;1;13;3;0;0;0;0;0;0;12;2;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;15;25;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04973:01444_SUB_SUB;130;6;2;26;24;0;0;0;7;19;0;0;1;0;0;23;0;16;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00923:05115_SUB_SUB;194;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;11;0;2;0;6;0;45;0;0;0;1;0;1;8;16;2;1;1;0;32;21;1;0;0;2;0;0;0;1;0;0;0;0;0;3;0;1;0;3;0;0;1;0;0;0;0;0;0;0;0;3
P8S2G:04717:06630_SUB_SUB;176;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;87;46;11;2;10;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;2;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:03030:05536_SUB_SUB;155;5;5;16;22;0;0;0;11;28;4;0;0;0;0;44;0;10;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:02863:01155_SUB_SUB;186;2;1;0;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;11;0;0;0;0;8;0;0;0;0;0;0;0;0;0;4;7;2;0;10;0;0;0;0;0;0;0;0;6;13;16;0;3;0;0;2;0;0;10;0;21;0;1;5;1;1;0;0;8;1;3;12;0;3;0;5;12;0;1;0;0;0;0;0;0;2
P8S2G:01674:02922_SUB_SUB;276;1;7;1;0;0;5;19;0;9;0;0;28;2;0;101;9;27;28;4;7;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00918:00617_SUB_SUB;144;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12;0;0;0;0;2;0;0;3;0;0;4;0;0;0;0;1;0;1;9;0;0;0;0;0;1;2;1;3;1;0;0;0;0;5;0;0;0;30;0;3;0;1;0;7;0;0;0;49;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0
P8S2G:04306:06713_SUB_SUB;128;0;35;0;0;0;13;0;0;4;3;0;26;4;4;0;1;0;0;0;12;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04453:06648_SUB_SUB;148;0;92;0;0;0;5;0;0;0;3;0;7;8;11;0;0;0;1;0;3;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:01071:05821_SUB_SUB;546;0;3;3;2;16;0;2;0;1;337;9;0;0;5;42;0;55;50;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:01304:05763_SUB_SUB;3206;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;25;0;0;0;0;0;1;0;0;0;0;0;176;0;0;0;121;0;0;0;3;0;0;0;0;21;0;0;3;1172;742;110;46;105;0;0;3;0;0;98;0;1;0;92;0;0;0;1;0;0;15;19;203;0;190;0;0;28;0;0;0;0;0;0;0;0;0
P8S2G:00063:02359_SUB_SUB;125;0;13;26;23;0;0;4;0;23;0;0;0;0;0;4;0;12;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00632:01962_SUB_SUB;149;0;25;0;0;0;18;0;0;3;0;0;0;0;0;18;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;21;0;0;0;2;0;0;0;0;2;0;0;1;2;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25
P8S2G:05258:06271_SUB_SUB;163;0;7;0;0;0;2;0;0;0;1;0;5;1;0;35;8;1;6;0;7;10;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;12;16;0;0;0;1;0;0;3;1;17;0;1;1;1;0;0;0;0;0;0;0;6;3;0;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8
P8S2G:03563:00657_SUB_SUB;210;0;3;4;2;0;0;0;0;8;0;0;2;0;0;0;0;6;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;45;28;7;9;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;2;9;0;3;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:03854:02086_SUB_SUB;109;0;3;0;0;0;0;7;0;0;0;0;8;1;1;25;2;0;4;0;4;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;1;0;0;1;0;15;0;2;0;0;0;0;0;0;0;0;0;2;4;3;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2
P8S2G:03334:04370_SUB_SUB;113;0;4;0;0;0;3;3;0;0;1;0;9;2;0;18;4;0;6;0;4;3;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;6;8;0;0;0;2;0;0;4;0;10;3;3;0;2;0;0;0;0;0;0;0;1;2;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
P8S2G:03328:05666_SUB_SUB;139;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;31;5;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00562:01553_SUB_SUB;137;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;6;0;0;0;0;0;0;0;0;1;0;0;0;30;41;1;1;6;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;1;0;14;0;13;0;0;5;0;0;0;0;0;0;0;0;0
P8S2G:00617:04464_SUB_SUB;325;0;1;0;0;0;15;0;0;3;16;0;40;11;0;0;0;6;5;2;21;77;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;42;34;17;3;12;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04513:06835_SUB_SUB;469;0;0;18;7;1;29;14;0;8;0;0;56;19;0;73;0;11;28;2;19;27;0;0;3;0;0;0;0;0;0;0;0;1;18;0;0;0;0;14;1;0;0;0;0;0;0;2;0;5;0;58;18;15;4;2;1;0;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;2
P8S2G:05171:01669_SUB_SUB;230;0;0;13;3;0;0;0;14;3;14;0;5;0;0;160;0;7;8;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:02952:07588_SUB_SUB;121;0;0;1;2;0;0;1;0;51;0;0;1;0;0;4;0;31;6;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:01419:07505_SUB_SUB;155;0;0;1;0;0;0;0;0;0;0;7;0;0;108;0;0;2;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;26;0;0;0;0;0;0;0;0;0
P8S2G:00425:06926_SUB_SUB;584;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;46;0;0;0;1;5;30;0;44;0;0;20;0;3;0;1;0;0;0;85;0;44;0;0;1;0;2;0;13;7;38;77;2;0;17;0;21;0;1;0;0;0;0;4;23;18;0;0;3;46;16;0;0;0;0;0;0;0;1;0;0;0;0;0;8;0
P8S2G:02816:06440_SUB_SUB;249;0;0;0;0;3;0;0;0;0;0;0;0;0;198;0;0;4;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;0;0;32;0;0;0;0;0;0;0;0;0
P8S2G:02022:02281_SUB_SUB;139;0;0;0;0;0;1;0;0;86;0;0;2;0;0;0;0;26;13;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:03770:01366_SUB_SUB;101;0;0;0;0;0;0;4;4;1;1;0;5;0;0;84;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04327:06535_SUB_SUB;930;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;11;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;499;197;77;36;37;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;5;12;0;12;0;0;2;0;0;0;0;0;0;0;0;0
P8S2G:04360:06673_SUB_SUB;103;0;0;0;0;0;0;0;0;48;0;0;4;0;0;0;0;49;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04412:06524_SUB_SUB;450;0;0;0;0;0;0;0;0;113;32;0;6;0;0;0;0;70;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88;35;58;18;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;1;0;4;0;0;1;0;0;0;0;0;0;0;0;0
P8S2G:04676:02416_SUB_SUB;211;0;0;0;0;0;0;0;0;7;5;0;1;1;0;0;0;0;0;0;0;1;187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04317:06672_SUB_SUB;110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00631:00868_SUB_SUB;1857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;124;0;0;0;3;6;0;0;0;0;0;12;0;0;0;2;19;25;0;14;0;0;0;0;8;10;121;4;2;2;0;1;2;0;6;18;0;0;18;16;0;16;2;0;0;0;0;0;0;0;2;860;0;519;12;7;0;0;0;0;0;3;0;0;0;15
P8S2G:04061:03519_SUB_SUB;925;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;458;278;72;31;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:03173:07186_SUB_SUB;543;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;162;242;64;13;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
P8S2G:03076:05779_SUB_SUB;889;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;538;256;26;21;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00611:01235_SUB_SUB;161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;6;0;64;0;0;0;0;0;0;19;1;2;2;1;0;39;0;3;0;0;0;0;0;0;4;0;0;0;0;0;0;0;7;0;2;0;2;0;0;0;0;0;0;0;0;0;0
P8S2G:04773:06209_SUB_SUB;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;1;1;0;3;0;29;0;0;0;0;0;0;3;6;4;0;1;0;18;6;1;0;0;2;0;0;0;2;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;1;0;0;0;0
