OTU id;count;E00944148;E00944149;E00944151;E00944152;E00944153;E00944154;E00944157;E00944160;E00944167;E00963476;E00963478;E00963482;E00963484;E00963485;E00963490;E00963491;E00963492;E00963493;E00963495;E00963496;E00963497;E00963498;E00963500;E00963501;E00963502;E00963506;E00963508;E00963511;E00963512;E00963740;E00963743;E00963746;E00963750;E00963751;E00963753;E00963757;E00963764;E00963842;E00963843;E00963845;E00963846;E00963850;E00963852;E00963853;E00963859;E00963864;E00982230;E00982232;E00982233;E00982241;E00982258;E00982259;E00982262;E00982264;E00982266;E00982273;E00982477;E00982478;E00982481;E00982487;E00982489;E00982493;E00982494;E00982496;E00982497;E00982501;;;;;;;;;;;;;;;;;;;;;;
M68YD:02247:02343_SUB_SUB;394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;5;0;0;0;0;0;12;0;0;0;0;4;0;0;89;0;0;0;0;0;0;0;0;0;0;0;214;51;0;0;1;0;0;0;0;0;0;0;0;0;0;1;13;2;;;;;;;;;;;;;;;;;;;;;;
M68YD:02795:05151_SUB_SUB;444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;49;0;0;0;0;0;0;0;2;0;8;343;0;0;0;0;3;0;0;0;9;0;0;0;0;0;0;0;0;0;7;3;0;0;0;0;14;0;;;;;;;;;;;;;;;;;;;;;;
M68YD:00315:02510_SUB_SUB;247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;14;0;0;0;0;0;0;0;2;0;5;205;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;3;2;0;0;0;0;10;0;;;;;;;;;;;;;;;;;;;;;;
M68YD:05241:04725_SUB_SUB;257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0;14;0;0;0;0;1;0;0;0;2;0;222;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;1;0;0;6;0;0;0;0;2;0;;;;;;;;;;;;;;;;;;;;;;
M68YD:03872:05435_SUB_SUB;451;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;21;0;0;0;0;1;0;0;0;5;0;401;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;6;0;0;1;0;9;0;;;;;;;;;;;;;;;;;;;;;;
M68YD:01776:02789_SUB_SUB;112;0;6;3;0;0;0;12;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;35;0;0;0;0;0;0;1;0;1;4;0;0;11;2;2;0;0;0;0;14;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
M68YD:04070:06846_SUB_SUB;128;0;0;0;0;128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
M68YD:04264:00978_SUB_SUB;136;3;0;0;0;133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
M68YD:00989:05987_SUB_SUB;1757;0;16;0;0;2;1;35;14;15;3;0;0;0;0;0;50;0;2;0;0;4;0;51;0;4;0;0;0;1;0;0;0;4;7;2;0;491;3;24;71;0;0;0;0;0;2;54;0;18;181;0;1;247;0;68;2;0;0;0;377;0;0;2;0;0;5;;;;;;;;;;;;;;;;;;;;;;
M68YD:01060:03610_SUB_SUB;238;0;2;0;0;0;0;2;3;1;0;0;0;0;0;0;5;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;1;2;1;0;69;0;2;3;0;0;0;0;0;0;5;0;2;23;0;0;26;0;15;0;0;0;0;72;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
M68YD:03709:01848_SUB_SUB;755;0;9;0;0;1;0;17;2;13;3;0;0;1;0;0;27;0;0;0;0;0;0;17;0;2;0;1;0;0;0;0;0;3;8;3;0;216;2;11;38;0;0;0;0;0;1;18;0;5;111;0;1;87;0;34;6;0;0;0;118;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
M68YD:00875:02887_SUB_SUB;1366;0;6;0;1;4;0;8;0;2;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;92;12;83;19;558;245;2;0;0;1;22;0;3;0;0;6;0;215;17;0;0;39;1;0;2;5;0;0;18;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
M68YD:01136:04434_SUB_SUB;156;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;11;5;69;19;0;0;0;0;6;0;0;0;0;1;0;32;1;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
M68YD:05146:05877_SUB_SUB;141;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;121;0;0;0;0;13;0;;;;;;;;;;;;;;;;;;;;;;
