OTU id;count;E00944148;E00944149;E00944151;E00944152;E00944153;E00944154;E00944155;E00944156;E00944157;E00944160;E00944167;E00963469;E00963471;E00963474;E00963476;E00963478;E00963482;E00963484;E00963485;E00963490;E00963491;E00963492;E00963493;E00963496;E00963497;E00963498;E00963499;E00963500;E00963501;E00963502;E00963505;E00963506;E00963508;E00963509;E00963510;E00963511;E00963512;E00963740;E00963743;E00963746;E00963750;E00963751;E00963753;E00963757;E00963761;E00963764;E00963842;E00963843;E00963845;E00963846;E00963848;E00963850;E00963852;E00963853;E00963855;E00963856;E00963857;E00963859;E00963864;E00982230;E00982232;E00982233;E00982239;E00982241;E00982252;E00982256;E00982258;E00982259;E00982260;E00982262;E00982264;E00982266;E00982271;E00982273;E00982477;E00982478;E00982480;E00982481;E00982487;E00982488;E00982489;E00982490;E00982493;E00982494;E00982496;E00982497;E00982499;E00982501
M68YD:01468:04295_SUB_SUB;112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;8;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;12;0;0;0;1;0;0;1;0;0;0;0;0;0;0;12;0;2;0;0;0;0;0;19;0;0;0;0;0;0;13;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0
M68YD:03904:01903_SUB_SUB;220;0;1;1;0;0;1;0;2;5;4;5;0;0;0;1;2;4;9;1;0;21;0;13;1;8;0;2;6;0;2;0;0;5;0;2;0;0;0;1;0;3;8;23;0;3;0;0;0;0;9;0;0;0;0;0;0;13;1;5;1;0;0;0;0;0;3;10;16;4;1;1;0;5;2;0;0;0;0;1;0;0;0;0;0;0;14;0;0
M68YD:00969:03433_SUB_SUB;133;0;0;0;0;0;1;0;0;3;6;2;2;0;0;2;0;5;7;1;0;18;0;4;0;9;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;2;4;9;0;1;0;0;0;0;5;0;0;0;0;0;0;7;2;3;2;0;0;0;0;0;4;6;10;1;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0
M68YD:01086:04851_SUB_SUB;115;0;0;0;0;0;0;0;0;2;2;4;0;0;0;1;1;0;3;0;0;18;0;4;2;4;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;3;8;0;2;0;0;0;0;6;0;0;0;0;0;0;4;6;4;3;0;0;0;0;0;6;3;7;1;1;0;1;7;1;0;0;0;0;1;0;0;0;1;0;0;4;0;0
M68YD:01276:07106_SUB_SUB;102;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;3;10;0;0;10;0;2;1;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;6;17;1;1;0;0;0;0;7;0;0;0;0;0;0;1;5;7;3;0;0;0;0;0;10;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;1;0;0;2;0;0
M68YD:01543:06186_SUB_SUB;101;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;17;2;0;0;22;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;25;2;1;0;0;0;0;0;17;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0
M68YD:00647:00487_SUB_SUB;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;7;0;0;29;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;6;0;0;0;1;5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;18;0;1;0;0;0;0;0;17;0;1;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M68YD:03486:04251_SUB_SUB;353;0;0;0;0;0;1;0;1;0;1;1;2;6;0;7;1;13;20;22;1;2;0;0;5;13;0;0;0;0;0;0;0;0;0;12;0;0;0;2;0;1;6;23;0;2;0;0;0;0;6;0;0;0;0;0;0;1;133;28;0;0;0;0;0;0;7;4;7;0;0;0;0;12;1;0;0;0;0;1;0;0;0;1;0;0;10;0;0
M68YD:03390:01530_SUB_SUB;884;0;0;0;0;0;0;0;7;3;3;11;6;9;0;24;5;15;44;20;0;13;0;16;18;33;0;0;1;0;0;0;0;0;0;21;0;0;3;12;0;0;6;91;1;2;0;0;0;12;11;0;0;0;0;0;0;22;297;48;4;0;0;0;0;0;8;20;18;0;0;0;0;58;0;0;0;0;0;5;0;0;0;0;0;0;17;0;0
M68YD:05022:06211_SUB_SUB;162;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;5;7;2;0;2;0;2;2;7;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;9;0;0;0;0;0;0;2;0;0;0;0;0;0;5;80;6;0;0;0;0;0;0;5;3;2;0;0;0;0;11;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0
