id;count;sample:E00944163-S0001plqA-A0000Rep1_IonCode_0229;sample:E00944164-S0001plqA-A0000Rep1_IonCode_0230;sample:E00944165-S0001plqA-A0000Rep1_IonCode_0231;sample:E00944166-S0001plqA-A0000Rep1_IonCode_0232;sample:E00944168-S0001plqA-A0000Rep1_IonCode_0233;sample:E00944194-S0001plqA-A0000Rep1_IonCode_0234;sample:E00944195-S0001plqA-A0000Rep1_IonCode_0235;sample:E00944196-S0001plqA-A0000Rep1_IonCode_0236;sample:E00944200-S0001plqA-A0000Rep1_IonCode_0237;sample:E00944201-S0001plqA-A0000Rep1_IonCode_0238;sample:E00944202-S0001plqA-A0000Rep1_IonCode_0239;sample:E00944203-S0001plqA-A0000Rep1_IonCode_0240;sample:E00944205-S0001plqA-A0000Rep1_IonCode_0242;sample:E00944206-S0001plqA-A0000Rep1_IonCode_0243;sample:E00944208-S0001plqA-A0000Rep1_IonCode_0244;sample:E00944209-S0001plqA-A0000Rep1_IonCode_0245;sample:E00944210-S0001plqA-A0000Rep1_IonCode_0246;sample:E00944211-S0001plqA-A0000Rep1_IonCode_0247;sample:E00944213-S0001plqA-A0000Rep1_IonCode_0248;sample:E00944215-S0001plqA-A0000Rep1_IonCode_0249;sample:E00944217-S0001plqA-A0000Rep1_IonCode_0250;sample:E00944218-S0001plqA-A0000Rep1_IonCode_0251;sample:E00944563-S0001plqA-A0000Rep1_IonCode_0266;sample:E00944564-S0001plqA-A0000Rep1_IonCode_0267;sample:E00963479-S0001plqA-A0000Rep1_IonCode_0202;sample:E00963480-S0001plqA-A0000Rep1_IonCode_0203;sample:E00963481-S0001plqA-A0000Rep1_IonCode_0204;sample:E00963487-S0001plqA-A0000Rep1_IonCode_0205;sample:E00963489-S0001plqA-A0000Rep1_IonCode_0206;sample:E00963503-S0001plqA-A0000Rep1_IonCode_0207;sample:E00963504-S0001plqA-A0000Rep1_IonCode_0208;sample:E00963513-S0001plqA-A0000Rep1_IonCode_0209;sample:E00963514-S0001plqA-A0000Rep1_IonCode_0210;sample:E00963678-S0001plqA-A0000Rep1_IonCode_0211;sample:E00963680-S0001plqA-A0000Rep1_IonCode_0212;sample:E00963683-S0001plqA-A0000Rep1_IonCode_0213;sample:E00963715-S0001plqA-A0000Rep1_IonCode_0268;sample:E00963717-S0001plqA-A0000Rep1_IonCode_0269;sample:E00963721-S0001plqA-A0000Rep1_IonCode_0270;sample:E00963722-S0001plqA-A0000Rep1_IonCode_0271;sample:E00963725-S0001plqA-A0000Rep1_IonCode_0272;sample:E00963726-S0001plqA-A0000Rep1_IonCode_0273;sample:E00963727-S0001plqA-A0000Rep1_IonCode_0274;sample:E00963728-S0001plqA-A0000Rep1_IonCode_0275;sample:E00963729-S0001plqA-A0000Rep1_IonCode_0276;sample:E00963731-S0001plqA-A0000Rep1_IonCode_0277;sample:E00963732-S0001plqA-A0000Rep1_IonCode_0278;sample:E00963734-S0001plqA-A0000Rep1_IonCode_0280;sample:E00963736-S0001plqA-A0000Rep1_IonCode_0282;sample:E00963738-S0001plqA-A0000Rep1_IonCode_0283;sample:E00963739-S0001plqA-A0000Rep1_IonCode_0284;sample:E00963744-S0001plqA-A0000Rep1_IonCode_0252;sample:E00963749-S0001plqA-A0000Rep1_IonCode_0253;sample:E00963754-S0001plqA-A0000Rep1_IonCode_0254;sample:E00963758-S0001plqA-A0000Rep1_IonCode_0255;sample:E00963760-S0001plqA-A0000Rep1_IonCode_0256;sample:E00963814-S0001plqA-A0000Rep1_IonCode_0257;sample:E00963840-S0001plqA-A0000Rep1_IonCode_0285;sample:E00963841-S0001plqA-A0000Rep1_IonCode_0286;sample:E00963849-S0001plqA-A0000Rep1_IonCode_0287;sample:E00963851-S0001plqA-A0000Rep1_IonCode_0288;sample:E00963854-S0001plqA-A0000Rep1_IonCode_0289;sample:E00963858-S0001plqA-A0000Rep1_IonCode_0290;sample:E00963860-S0001plqA-A0000Rep1_IonCode_0291;sample:E00963861-S0001plqA-A0000Rep1_IonCode_0292;sample:E00963862-S0001plqA-A0000Rep1_IonCode_0293;sample:E00963863-S0001plqA-A0000Rep1_IonCode_0294;sample:E00963872-S0001plqA-A0000Rep1_IonCode_0215;sample:E00963876-S0001plqA-A0000Rep1_IonCode_0216;sample:E00963878-S0001plqA-A0000Rep1_IonCode_0217;sample:E00963882-S0001plqA-A0000Rep1_IonCode_0218;sample:E00963887-S0001plqA-A0000Rep1_IonCode_0219;sample:E00963888-S0001plqA-A0000Rep1_IonCode_0220;sample:E00982243-S0001plqA-A0000Rep1_IonCode_0258;sample:E00982245-S0001plqA-A0000Rep1_IonCode_0259;sample:E00982261-S0001plqA-A0000Rep1_IonCode_0260;sample:E00982267-S0001plqA-A0000Rep1_IonCode_0261;sample:E00982269-S0001plqA-A0000Rep1_IonCode_0262;sample:E00982272-S0001plqA-A0000Rep1_IonCode_0263;sample:E00982274-S0001plqA-A0000Rep1_IonCode_0264;sample:E00982275-S0001plqA-A0000Rep1_IonCode_0265;sample:E00982461-S0001plqA-A0000Rep1_IonCode_0221;sample:E00982463-S0001plqA-A0000Rep1_IonCode_0222;sample:E00982464-S0001plqA-A0000Rep1_IonCode_0223;sample:E00982467-S0001plqA-A0000Rep1_IonCode_0224;sample:E00982468-S0001plqA-A0000Rep1_IonCode_0225;sample:E00982469-S0001plqA-A0000Rep1_IonCode_0226;sample:E00982473-S0001plqA-A0000Rep1_IonCode_0227;sample:E00982474-S0001plqA-A0000Rep1_IonCode_0228;sample:E00982498-S0001plqA-A0000Rep1_IonCode_0295
P8S2G:03402:01603_SUB_SUB;364;0;13;26;14;0;0;8;0;0;4;0;0;1;0;3;15;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;8;23;21;2;6;0;0;0;0;0;0;0;1;0;0;0;0;23;0;0;0;15;7;79;0;75;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:03615:01915_SUB_SUB;147;0;0;6;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;3;0;0;0;0;0;2;0;1;0;0;1;0;0;0;10;2;0;0;2;0;0;0;0;3;1;4;4;1;13;5;2;2;0;0;0;6;0;0;14;1;6;0;21;0;1;0;0;0;0;1;2;9;0;17;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:03773:01526_SUB_SUB;303;0;3;21;3;2;0;7;0;2;0;0;2;0;8;0;0;0;6;0;7;5;1;5;3;0;4;0;0;0;1;0;0;0;0;0;0;0;0;1;12;1;0;7;0;0;0;0;0;0;13;6;25;16;1;47;1;9;0;0;8;0;0;10;1;7;1;12;0;16;0;0;0;13;1;1;4;0;3;0;0;0;0;7;0;0;0;0;0;0;0
P8S2G:03927:01746_SUB_SUB;243;0;11;116;30;2;7;0;0;11;0;0;0;10;1;3;0;0;12;14;19;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:03971:01596_SUB_SUB;843;0;0;34;2;3;0;91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;14;0;0;0;57;0;0;1;0;26;0;0;0;191;34;0;0;0;0;0;0;0;4;0;7;28;0;3;1;14;3;15;0;0;6;0;0;20;7;75;0;57;0;0;23;116;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0
P8S2G:04723:01646_SUB_SUB;181;0;6;1;0;3;1;26;0;3;23;0;0;0;0;20;0;46;2;2;0;4;1;1;0;0;0;0;3;0;0;0;12;0;0;8;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0
P8S2G:04863:01580_SUB_SUB;199;0;0;8;2;9;0;0;0;0;0;0;0;1;0;0;0;0;2;2;0;0;0;12;6;1;0;0;4;1;3;0;5;0;1;4;0;2;0;8;0;0;1;8;0;0;1;2;2;6;9;0;0;2;0;0;0;0;7;0;4;0;0;0;1;1;23;5;2;11;5;1;1;2;2;0;9;5;10;0;1;1;0;1;0;1;0;3;0;0;1
P8S2G:04911:01323_SUB_SUB;155;0;0;27;1;1;1;27;0;1;26;0;0;1;0;0;6;0;2;2;8;1;4;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;2;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:05103:01564_SUB_SUB;116;0;0;7;0;0;0;2;0;1;0;0;0;1;2;0;0;0;8;5;29;0;2;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;1;4;0;0;3;1;1;0;0;0;5;0;0;2;0;3;0;3;3;0;14;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0
P8S2G:04651:00478_SUB_SUB;1144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;13;4;0;0;0;0;1;0;0;20;0;0;0;0;0;0;9;0;0;0;24;0;0;0;0;6;1;30;0;1;79;30;17;31;0;0;0;0;0;0;29;0;0;0;0;174;56;122;421;0;0;16;22;0;0;9;0;0;0;0;28;0;0;0;0;0;0;0
P8S2G:00689:01865_SUB_SUB;141;0;0;10;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;8;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;3;1;0;3;0;0;0;0;0;5;55;0;1;3;1;0;0;0;0;0;1;0;0;4;0;0;5;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00830:01534_SUB_SUB;232;0;3;28;2;0;3;36;0;2;44;0;0;4;3;0;15;0;4;3;13;1;12;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;7;1;28;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00861:01695_SUB_SUB;134;0;5;0;0;2;0;24;0;0;28;0;0;0;0;19;0;18;2;0;0;2;3;1;0;0;0;0;2;0;0;0;6;0;0;2;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00962:01475_SUB_SUB;130;0;3;12;3;5;1;25;0;0;25;0;0;2;0;0;12;0;1;0;2;1;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:01232:01788_SUB_SUB;101;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;10;6;3;0;0;0;0;0;0;0;9;0;0;0;3;0;0;0;11;0;0;1;2;3;25;0;0;0;0;0;22;0;0;0;0;0;0;0
P8S2G:00669:04160_SUB_SUB;189;0;0;1;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;23;0;0;0;3;4;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;1;0;0;5;0;84;0;5;1;0;28;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00722:03945_SUB_SUB;144;0;2;6;3;1;4;18;0;0;32;0;0;2;1;0;20;0;1;3;4;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;1;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00765:04150_SUB_SUB;993;0;1;41;17;3;0;21;0;22;0;0;23;0;19;0;0;0;19;0;5;11;2;46;27;0;12;0;0;0;6;0;0;0;0;0;0;0;0;7;27;3;0;21;0;0;0;0;3;0;25;6;69;78;3;121;12;53;0;0;11;0;0;42;1;38;4;69;0;27;0;1;0;51;8;3;10;0;8;0;0;0;0;17;0;0;0;0;0;0;0
P8S2G:00778:04475_SUB_SUB;357;0;41;187;58;2;1;0;0;16;0;0;0;0;0;0;0;0;5;28;7;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04801:06081_SUB_SUB;1015;0;299;220;79;14;0;0;0;14;384;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04906:06195_SUB_SUB;474;0;7;6;2;1;2;15;0;1;0;0;1;5;2;0;0;0;1;0;0;7;19;4;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;25;2;0;0;0;0;0;0;2;0;182;1;0;35;21;71;3;0;0;0;0;0;0;7;6;0;10;7;0;0;0;0;0;0;3;0;14;0;1;0;0;0;0;0;0;0;0;0;0;0;8
P8S2G:05126:06199_SUB_SUB;729;0;1;28;13;1;0;10;0;19;0;0;2;0;0;0;0;0;4;0;1;2;1;9;15;0;0;0;0;0;3;0;0;0;0;0;0;0;0;4;22;13;0;18;0;0;0;0;0;0;25;3;33;155;29;87;18;16;0;0;8;0;0;57;0;35;0;36;0;9;0;0;0;34;3;4;3;0;7;0;0;0;0;1;0;0;0;0;0;0;0
P8S2G:00213:06580_SUB_SUB;103;0;0;3;1;1;0;7;0;2;17;0;0;7;0;0;14;0;2;0;7;5;7;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;2;3;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04689:02160_SUB_SUB;114;0;29;8;1;1;4;0;7;6;19;0;0;2;5;4;0;0;6;13;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04708:02302_SUB_SUB;146;0;0;6;0;7;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;0;0;4;4;0;0;0;3;1;4;1;3;0;1;1;0;1;0;10;2;0;3;6;0;0;1;3;0;11;9;2;1;0;1;0;0;0;6;0;0;0;0;0;1;1;8;7;1;8;0;0;0;7;1;0;3;1;8;0;0;0;0;0;0;1;0;1;1;0;0
P8S2G:04938:02548_SUB_SUB;180;0;0;4;1;0;0;6;0;17;18;0;0;7;2;0;15;0;3;82;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;5;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
