id;count;sample:E00944163-S0001plqA-A0000Rep1_IonCode_0229;sample:E00944164-S0001plqA-A0000Rep1_IonCode_0230;sample:E00944165-S0001plqA-A0000Rep1_IonCode_0231;sample:E00944166-S0001plqA-A0000Rep1_IonCode_0232;sample:E00944168-S0001plqA-A0000Rep1_IonCode_0233;sample:E00944194-S0001plqA-A0000Rep1_IonCode_0234;sample:E00944195-S0001plqA-A0000Rep1_IonCode_0235;sample:E00944196-S0001plqA-A0000Rep1_IonCode_0236;sample:E00944200-S0001plqA-A0000Rep1_IonCode_0237;sample:E00944201-S0001plqA-A0000Rep1_IonCode_0238;sample:E00944203-S0001plqA-A0000Rep1_IonCode_0240;sample:E00944205-S0001plqA-A0000Rep1_IonCode_0242;sample:E00944206-S0001plqA-A0000Rep1_IonCode_0243;sample:E00944208-S0001plqA-A0000Rep1_IonCode_0244;sample:E00944209-S0001plqA-A0000Rep1_IonCode_0245;sample:E00944210-S0001plqA-A0000Rep1_IonCode_0246;sample:E00944211-S0001plqA-A0000Rep1_IonCode_0247;sample:E00944213-S0001plqA-A0000Rep1_IonCode_0248;sample:E00944215-S0001plqA-A0000Rep1_IonCode_0249;sample:E00944217-S0001plqA-A0000Rep1_IonCode_0250;sample:E00944218-S0001plqA-A0000Rep1_IonCode_0251;sample:E00944563-S0001plqA-A0000Rep1_IonCode_0266;sample:E00944564-S0001plqA-A0000Rep1_IonCode_0267;sample:E00963479-S0001plqA-A0000Rep1_IonCode_0202;sample:E00963480-S0001plqA-A0000Rep1_IonCode_0203;sample:E00963481-S0001plqA-A0000Rep1_IonCode_0204;sample:E00963487-S0001plqA-A0000Rep1_IonCode_0205;sample:E00963489-S0001plqA-A0000Rep1_IonCode_0206;sample:E00963503-S0001plqA-A0000Rep1_IonCode_0207;sample:E00963504-S0001plqA-A0000Rep1_IonCode_0208;sample:E00963513-S0001plqA-A0000Rep1_IonCode_0209;sample:E00963514-S0001plqA-A0000Rep1_IonCode_0210;sample:E00963678-S0001plqA-A0000Rep1_IonCode_0211;sample:E00963680-S0001plqA-A0000Rep1_IonCode_0212;sample:E00963683-S0001plqA-A0000Rep1_IonCode_0213;sample:E00963715-S0001plqA-A0000Rep1_IonCode_0268;sample:E00963717-S0001plqA-A0000Rep1_IonCode_0269;sample:E00963721-S0001plqA-A0000Rep1_IonCode_0270;sample:E00963722-S0001plqA-A0000Rep1_IonCode_0271;sample:E00963725-S0001plqA-A0000Rep1_IonCode_0272;sample:E00963726-S0001plqA-A0000Rep1_IonCode_0273;sample:E00963727-S0001plqA-A0000Rep1_IonCode_0274;sample:E00963728-S0001plqA-A0000Rep1_IonCode_0275;sample:E00963729-S0001plqA-A0000Rep1_IonCode_0276;sample:E00963731-S0001plqA-A0000Rep1_IonCode_0277;sample:E00963732-S0001plqA-A0000Rep1_IonCode_0278;sample:E00963734-S0001plqA-A0000Rep1_IonCode_0280;sample:E00963736-S0001plqA-A0000Rep1_IonCode_0282;sample:E00963738-S0001plqA-A0000Rep1_IonCode_0283;sample:E00963739-S0001plqA-A0000Rep1_IonCode_0284;sample:E00963744-S0001plqA-A0000Rep1_IonCode_0252;sample:E00963749-S0001plqA-A0000Rep1_IonCode_0253;sample:E00963754-S0001plqA-A0000Rep1_IonCode_0254;sample:E00963758-S0001plqA-A0000Rep1_IonCode_0255;sample:E00963760-S0001plqA-A0000Rep1_IonCode_0256;sample:E00963814-S0001plqA-A0000Rep1_IonCode_0257;sample:E00963840-S0001plqA-A0000Rep1_IonCode_0285;sample:E00963849-S0001plqA-A0000Rep1_IonCode_0287;sample:E00963851-S0001plqA-A0000Rep1_IonCode_0288;sample:E00963854-S0001plqA-A0000Rep1_IonCode_0289;sample:E00963858-S0001plqA-A0000Rep1_IonCode_0290;sample:E00963860-S0001plqA-A0000Rep1_IonCode_0291;sample:E00963861-S0001plqA-A0000Rep1_IonCode_0292;sample:E00963862-S0001plqA-A0000Rep1_IonCode_0293;sample:E00963863-S0001plqA-A0000Rep1_IonCode_0294;sample:E00963872-S0001plqA-A0000Rep1_IonCode_0215;sample:E00963876-S0001plqA-A0000Rep1_IonCode_0216;sample:E00963878-S0001plqA-A0000Rep1_IonCode_0217;sample:E00963882-S0001plqA-A0000Rep1_IonCode_0218;sample:E00963887-S0001plqA-A0000Rep1_IonCode_0219;sample:E00963888-S0001plqA-A0000Rep1_IonCode_0220;sample:E00982243-S0001plqA-A0000Rep1_IonCode_0258;sample:E00982245-S0001plqA-A0000Rep1_IonCode_0259;sample:E00982261-S0001plqA-A0000Rep1_IonCode_0260;sample:E00982267-S0001plqA-A0000Rep1_IonCode_0261;sample:E00982269-S0001plqA-A0000Rep1_IonCode_0262;sample:E00982272-S0001plqA-A0000Rep1_IonCode_0263;sample:E00982274-S0001plqA-A0000Rep1_IonCode_0264;sample:E00982275-S0001plqA-A0000Rep1_IonCode_0265;sample:E00982463-S0001plqA-A0000Rep1_IonCode_0222;sample:E00982464-S0001plqA-A0000Rep1_IonCode_0223;sample:E00982467-S0001plqA-A0000Rep1_IonCode_0224;sample:E00982468-S0001plqA-A0000Rep1_IonCode_0225;sample:E00982469-S0001plqA-A0000Rep1_IonCode_0226;sample:E00982473-S0001plqA-A0000Rep1_IonCode_0227;sample:E00982474-S0001plqA-A0000Rep1_IonCode_0228;sample:E00982498-S0001plqA-A0000Rep1_IonCode_0295
P8S2G:01556:06221_SUB_SUB;203;10;3;3;1;3;5;16;0;3;8;0;8;7;12;21;0;1;1;3;9;1;0;0;0;0;0;0;0;7;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;14;2;2;3;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;3;1;7;13;0;2;7;2;0;0;0;0;0;0;0;0
P8S2G:01635:06150_SUB_SUB;103;6;1;3;2;1;0;3;0;0;5;0;3;1;12;14;4;0;0;0;2;1;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;1;3;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;5;3;2;0;10;3;3;1;0;0;0;0;0;0;0;0;0
P8S2G:01814:00101_SUB_SUB;123;11;3;0;1;0;4;4;0;2;7;0;9;2;20;14;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;3;0;2;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;3;0;1;3;7;3;3;4;1;0;0;0;0;0;0;0;0
P8S2G:00941:05265_SUB_SUB;212;14;0;7;0;0;2;6;0;1;10;0;2;4;62;21;2;1;0;0;0;1;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;11;12;2;3;2;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;1;1;8;14;2;2;7;1;0;0;0;0;0;0;0;0
P8S2G:00796:07340_SUB_SUB;173;10;1;1;1;0;9;18;0;1;9;0;7;6;8;10;3;1;1;4;4;1;0;0;0;0;0;0;0;11;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;10;4;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;22;2;0;3;2;0;0;0;0;0;0;0;0
P8S2G:00677:06953_SUB_SUB;138;8;0;1;2;0;6;6;0;1;7;0;1;7;17;28;0;0;0;0;7;1;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;9;6;3;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;4;5;1;0;4;0;0;0;0;0;0;0;0;0
P8S2G:01519:01701_SUB_SUB;113;7;2;2;2;1;0;5;1;3;4;0;5;2;9;13;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;4;6;1;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;2;12;2;0;9;1;0;0;0;0;0;0;0;0
P8S2G:01962:01285_SUB_SUB;122;10;2;1;0;0;1;2;0;0;7;0;4;3;18;9;0;2;0;2;1;0;0;0;0;0;0;0;0;1;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;10;4;4;2;3;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;8;2;0;2;9;0;1;5;1;0;0;0;0;0;0;0;0
P8S2G:01003:00292_SUB_SUB;126;7;2;2;1;1;1;10;0;0;3;0;3;1;12;9;0;1;0;1;2;4;0;0;0;0;0;0;0;2;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;7;4;2;0;2;0;0;0;0;1;0;0;0;1;0;1;0;0;0;3;2;0;3;10;1;2;6;1;0;0;0;0;0;0;0;0
P8S2G:04068:06851_SUB_SUB;204;23;0;0;0;0;4;31;2;0;0;0;7;1;0;19;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;52;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;4;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;3;30;1;0;5;4;0;0;0;0;0;0;0;0
P8S2G:04116:06926_SUB_SUB;153;11;2;5;0;1;3;7;0;3;11;0;8;3;14;21;0;2;1;2;2;1;0;0;0;0;0;0;0;16;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7;5;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;2;8;1;0;3;1;0;0;0;0;0;0;0;0
P8S2G:04194:06799_SUB_SUB;634;334;0;1;0;0;0;119;0;0;0;0;0;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;13;13;2;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;22;0;14;5;4;9;0;0;0;0;0;0;0;0
P8S2G:04353:06649_SUB_SUB;123;8;1;0;0;0;4;0;0;3;4;0;8;2;21;13;0;0;1;2;0;2;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;5;5;3;3;2;0;0;0;0;3;0;1;0;1;0;0;0;0;0;5;0;0;4;6;0;2;0;0;0;0;0;0;0;0;0;0
P8S2G:00741:05772_SUB_SUB;118;53;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;57;0;0;0;0;0;0;0;0;0;0
P8S2G:00269:02239_SUB_SUB;137;9;1;1;1;0;7;4;0;0;4;0;3;1;26;19;0;2;1;1;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;16;3;0;4;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;1;9;0;0;0;2;1;0;0;0;0;0;0;0;0
P8S2G:00296:02453_SUB_SUB;139;14;0;0;1;1;3;10;0;2;2;0;8;2;15;23;0;3;0;1;3;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;2;9;3;3;0;3;0;0;0;0;0;0;0;0;0
P8S2G:00488:01926_SUB_SUB;124;14;1;1;0;0;1;8;0;0;6;0;2;2;17;10;1;1;1;0;1;2;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;5;3;1;1;0;3;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;1;1;1;15;5;0;4;1;0;0;0;0;0;0;0;0
P8S2G:00135:01239_SUB_SUB;193;12;4;2;1;0;6;13;0;0;17;0;3;7;18;13;0;3;1;3;1;0;0;0;0;0;0;0;0;9;0;6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;13;6;5;2;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;4;1;0;20;4;1;6;1;0;0;0;0;0;0;0;0
P8S2G:03803:01397_SUB_SUB;263;16;2;3;0;0;16;54;0;0;0;0;11;3;0;45;0;1;0;1;6;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;10;5;2;1;2;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;11;22;1;2;8;0;0;0;0;0;0;0;0;0
P8S2G:05210:01464_SUB_SUB;202;13;4;1;0;3;4;3;0;0;14;0;8;0;28;30;1;1;0;2;5;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;7;8;3;4;3;3;0;0;0;0;0;0;2;0;0;0;2;1;0;0;2;2;0;8;14;4;2;10;1;0;0;0;0;0;0;0;0
P8S2G:01115:01781_SUB_SUB;129;11;0;0;0;0;4;10;0;0;0;0;10;3;0;35;0;0;0;2;5;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;17;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04893:05947_SUB_SUB;101;6;1;6;1;0;0;4;1;2;4;0;2;1;16;5;2;1;1;1;1;1;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;7;2;3;1;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;3;1;0;0;8;3;0;4;2;0;0;0;0;0;0;0;0
P8S2G:00725:02477_SUB_SUB;144;3;0;2;1;0;1;27;0;5;19;0;4;1;12;31;0;1;0;7;0;0;0;0;0;0;0;0;0;1;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;6;0;3;0;0;0;0;0;0;0;0;0
P8S2G:03169:05452_SUB_SUB;512;0;0;3;0;0;11;58;46;1;23;0;49;5;61;79;3;2;0;2;8;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;8;1;6;3;9;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;1;38;54;11;0;0;5;0;0;0;0;0;0;0;0
P8S2G:03481:02160_SUB_SUB;367;0;0;0;0;0;1;82;38;0;34;0;39;7;0;134;0;0;0;0;10;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04021:06434_SUB_SUB;16837;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1032;297;0;0;0;0;0;0;0;39;0;0;0;0;6126;0;0;0;3608;0;625;0;768;0;3;0;0;2251;0;0;0;0;0;0;0;0;0;0;0;0;38;0;2006;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;43
P8S2G:04022:06570_SUB_SUB;5215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;349;77;0;0;0;0;0;0;0;4;0;0;0;0;1687;0;0;0;1347;0;203;0;148;0;0;0;0;681;0;0;0;0;0;0;0;0;0;0;0;0;15;0;700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
P8S2G:04063:06564_SUB_SUB;237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;16;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;6;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
P8S2G:04074:07026_SUB_SUB;114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;1;0;0;0;0;45;0;0;0;15;0;3;0;5;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;2;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
