id;count;sample:E00944164-S0001plqA-A0000Rep1_IonCode_0230;sample:E00944165-S0001plqA-A0000Rep1_IonCode_0231;sample:E00944166-S0001plqA-A0000Rep1_IonCode_0232;sample:E00944168-S0001plqA-A0000Rep1_IonCode_0233;sample:E00944194-S0001plqA-A0000Rep1_IonCode_0234;sample:E00944195-S0001plqA-A0000Rep1_IonCode_0235;sample:E00944196-S0001plqA-A0000Rep1_IonCode_0236;sample:E00944200-S0001plqA-A0000Rep1_IonCode_0237;sample:E00944201-S0001plqA-A0000Rep1_IonCode_0238;sample:E00944203-S0001plqA-A0000Rep1_IonCode_0240;sample:E00944205-S0001plqA-A0000Rep1_IonCode_0242;sample:E00944206-S0001plqA-A0000Rep1_IonCode_0243;sample:E00944208-S0001plqA-A0000Rep1_IonCode_0244;sample:E00944209-S0001plqA-A0000Rep1_IonCode_0245;sample:E00944210-S0001plqA-A0000Rep1_IonCode_0246;sample:E00944211-S0001plqA-A0000Rep1_IonCode_0247;sample:E00944213-S0001plqA-A0000Rep1_IonCode_0248;sample:E00944215-S0001plqA-A0000Rep1_IonCode_0249;sample:E00944217-S0001plqA-A0000Rep1_IonCode_0250;sample:E00944218-S0001plqA-A0000Rep1_IonCode_0251;sample:E00944563-S0001plqA-A0000Rep1_IonCode_0266;sample:E00944564-S0001plqA-A0000Rep1_IonCode_0267;sample:E00963479-S0001plqA-A0000Rep1_IonCode_0202;sample:E00963480-S0001plqA-A0000Rep1_IonCode_0203;sample:E00963481-S0001plqA-A0000Rep1_IonCode_0204;sample:E00963487-S0001plqA-A0000Rep1_IonCode_0205;sample:E00963489-S0001plqA-A0000Rep1_IonCode_0206;sample:E00963503-S0001plqA-A0000Rep1_IonCode_0207;sample:E00963504-S0001plqA-A0000Rep1_IonCode_0208;sample:E00963513-S0001plqA-A0000Rep1_IonCode_0209;sample:E00963514-S0001plqA-A0000Rep1_IonCode_0210;sample:E00963678-S0001plqA-A0000Rep1_IonCode_0211;sample:E00963680-S0001plqA-A0000Rep1_IonCode_0212;sample:E00963683-S0001plqA-A0000Rep1_IonCode_0213;sample:E00963715-S0001plqA-A0000Rep1_IonCode_0268;sample:E00963717-S0001plqA-A0000Rep1_IonCode_0269;sample:E00963721-S0001plqA-A0000Rep1_IonCode_0270;sample:E00963722-S0001plqA-A0000Rep1_IonCode_0271;sample:E00963725-S0001plqA-A0000Rep1_IonCode_0272;sample:E00963726-S0001plqA-A0000Rep1_IonCode_0273;sample:E00963727-S0001plqA-A0000Rep1_IonCode_0274;sample:E00963728-S0001plqA-A0000Rep1_IonCode_0275;sample:E00963729-S0001plqA-A0000Rep1_IonCode_0276;sample:E00963731-S0001plqA-A0000Rep1_IonCode_0277;sample:E00963732-S0001plqA-A0000Rep1_IonCode_0278;sample:E00963734-S0001plqA-A0000Rep1_IonCode_0280;sample:E00963736-S0001plqA-A0000Rep1_IonCode_0282;sample:E00963738-S0001plqA-A0000Rep1_IonCode_0283;sample:E00963739-S0001plqA-A0000Rep1_IonCode_0284;sample:E00963744-S0001plqA-A0000Rep1_IonCode_0252;sample:E00963749-S0001plqA-A0000Rep1_IonCode_0253;sample:E00963754-S0001plqA-A0000Rep1_IonCode_0254;sample:E00963758-S0001plqA-A0000Rep1_IonCode_0255;sample:E00963760-S0001plqA-A0000Rep1_IonCode_0256;sample:E00963814-S0001plqA-A0000Rep1_IonCode_0257;sample:E00963840-S0001plqA-A0000Rep1_IonCode_0285;sample:E00963849-S0001plqA-A0000Rep1_IonCode_0287;sample:E00963851-S0001plqA-A0000Rep1_IonCode_0288;sample:E00963854-S0001plqA-A0000Rep1_IonCode_0289;sample:E00963858-S0001plqA-A0000Rep1_IonCode_0290;sample:E00963860-S0001plqA-A0000Rep1_IonCode_0291;sample:E00963861-S0001plqA-A0000Rep1_IonCode_0292;sample:E00963862-S0001plqA-A0000Rep1_IonCode_0293;sample:E00963863-S0001plqA-A0000Rep1_IonCode_0294;sample:E00963872-S0001plqA-A0000Rep1_IonCode_0215;sample:E00963876-S0001plqA-A0000Rep1_IonCode_0216;sample:E00963878-S0001plqA-A0000Rep1_IonCode_0217;sample:E00963882-S0001plqA-A0000Rep1_IonCode_0218;sample:E00963887-S0001plqA-A0000Rep1_IonCode_0219;sample:E00963888-S0001plqA-A0000Rep1_IonCode_0220;sample:E00982243-S0001plqA-A0000Rep1_IonCode_0258;sample:E00982245-S0001plqA-A0000Rep1_IonCode_0259;sample:E00982261-S0001plqA-A0000Rep1_IonCode_0260;sample:E00982267-S0001plqA-A0000Rep1_IonCode_0261;sample:E00982269-S0001plqA-A0000Rep1_IonCode_0262;sample:E00982272-S0001plqA-A0000Rep1_IonCode_0263;sample:E00982274-S0001plqA-A0000Rep1_IonCode_0264;sample:E00982275-S0001plqA-A0000Rep1_IonCode_0265;sample:E00982463-S0001plqA-A0000Rep1_IonCode_0222;sample:E00982464-S0001plqA-A0000Rep1_IonCode_0223;sample:E00982467-S0001plqA-A0000Rep1_IonCode_0224;sample:E00982468-S0001plqA-A0000Rep1_IonCode_0225;sample:E00982469-S0001plqA-A0000Rep1_IonCode_0226;sample:E00982473-S0001plqA-A0000Rep1_IonCode_0227;sample:E00982474-S0001plqA-A0000Rep1_IonCode_0228;sample:E00982498-S0001plqA-A0000Rep1_IonCode_0295
P8S2G:03429:02064_SUB_SUB;163;0;0;0;2;2;0;0;0;45;0;19;42;1;0;0;3;0;1;6;34;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:03806:02540_SUB_SUB;280;0;0;0;10;0;0;0;0;54;22;0;0;0;49;0;0;21;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;5;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;13;1;0;0;0;0;0;66;0;0;0;0;0;0;0;0
P8S2G:00486:03927_SUB_SUB;187;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;19;0;0;0;0;4;26;0;9;0;0;0;0;0;0;0;0;0;0;56;0;0;0;1;0;0;0;0;0;1;16;13;0;0;1;0;0;0;0;0;0;0;0;0;9;7;0;0;7;3;4;0;0;0;0;0;0;0;0;2;0;0;0;7;0
P8S2G:02657:01209_SUB_SUB;100;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;18;0;17;0;0;0;0;0;0;0;0;15;11;0;0;0;0;2;0;0;0;0;0;0;1;1;2;0;0;0;5;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0
P8S2G:04167:01502_SUB_SUB;140;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;1;3;6;0;5;0;0;1;0;0;1;0;0;0;0;17;0;11;0;0;0;0;1;0;0;0;14;13;0;0;7;0;4;0;0;0;0;0;0;2;4;5;0;0;0;10;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04629:01898_SUB_SUB;149;0;0;0;3;0;0;0;0;0;99;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:02592:07462_SUB_SUB;1280;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;127;0;0;0;0;2;29;0;108;0;0;0;0;13;0;5;0;0;0;341;0;81;0;1;0;3;5;0;2;0;76;99;0;0;80;3;19;0;0;1;16;0;0;0;37;43;0;0;20;76;40;0;0;0;0;0;17;0;0;0;0;0;3;30;0
P8S2G:02224:03902_SUB_SUB;105;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;1;0;14;0;0;12;0;0;0;0;0;0;0;34;0;9;0;0;0;0;0;0;0;0;2;0;0;0;13;0;5;0;0;0;0;0;0;0;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00071:05928_SUB_SUB;694;0;0;0;0;4;0;0;0;168;0;73;190;3;0;0;19;0;7;36;144;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;17;0;2;0;1;6;0;15;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:01631:00515_SUB_SUB;195;0;0;0;0;2;10;0;0;0;3;0;1;0;0;0;1;0;1;0;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;77;7;0;0;0;11;0;1;0;5;0;0;43;1;0;9;3;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00034:06015_SUB_SUB;157;0;0;0;0;0;5;0;0;37;0;0;0;0;12;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;89;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00879:04533_SUB_SUB;282;0;0;0;0;0;9;0;0;235;0;4;0;0;0;0;25;0;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:03988:06401_SUB_SUB;640;0;0;0;0;0;0;436;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0;123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
P8S2G:04072:06620_SUB_SUB;381;0;0;0;0;0;0;230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
P8S2G:04020:06486_SUB_SUB;198;0;0;0;0;0;0;0;0;180;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;3;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04078:06979_SUB_SUB;107;0;0;0;0;0;0;0;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04147:07012_SUB_SUB;307;0;0;0;0;0;0;0;0;78;0;0;0;0;0;0;7;71;11;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;12;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04231:06992_SUB_SUB;161;0;0;0;0;0;0;0;0;12;0;2;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00090:06417_SUB_SUB;114;0;0;0;0;0;0;0;0;0;6;0;0;64;3;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;1;0;2;0;0;24;0;0;0;0;0;0;0;0
P8S2G:03288:03537_SUB_SUB;197;0;0;0;0;0;0;0;0;0;1;0;0;109;0;0;0;6;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;4;0;9;0;0;53;0;0;0;0;0;0;0;0
P8S2G:04233:06518_SUB_SUB;220;0;0;0;0;0;0;0;0;0;0;24;67;4;0;0;68;0;0;5;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04113:06453_SUB_SUB;365;0;0;0;0;0;0;0;0;0;0;0;0;318;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;43;0;0;0;0;0;0;0;0
P8S2G:04095:06511_SUB_SUB;227;0;0;0;0;0;0;0;0;0;0;0;0;225;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
P8S2G:04232:06683_SUB_SUB;177;0;0;0;0;0;0;0;0;0;0;0;0;177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:01485:05313_SUB_SUB;306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;26;0;1;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;0;0;40;0;0;0;1;0;0;0;0;0;0;1;0;140;0;44;0;0;1;0;0;0;0;0;0;0;0
P8S2G:04149:06440_SUB_SUB;306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04242:06725_SUB_SUB;276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00582:00845_SUB_SUB;111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;5;0;0;0;0;0;0;0;0;7;0;19;0;10;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;9;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;2;0;0;18;0;0;0;0;0;0;0;0
P8S2G:04189:02610_SUB_SUB;264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;11;0;0;0;0;0;0;0;0;0;0;42;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;147;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
P8S2G:03660:05176_SUB_SUB;102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;7;0;0;0;0;0;0;0;0;0;0;0
